"Species code","Species name","Province","Year","Annual age ratio"
"1300","Red-breasted Merganser","Nova Scotia","1986","1.75"
"1300","Red-breasted Merganser","Ontario","1986",""
"1300","Red-breasted Merganser","Quebec","1986","3"
"1300","Red-breasted Merganser","New Brunswick","1987",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1987",""
"1300","Red-breasted Merganser","Nova Scotia","1987",""
"1300","Red-breasted Merganser","Ontario","1987",""
"1300","Red-breasted Merganser","Quebec","1987",""
"1300","Red-breasted Merganser","British Columbia","1988",""
"1300","Red-breasted Merganser","New Brunswick","1988",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1988",""
"1300","Red-breasted Merganser","Nova Scotia","1988",""
"1300","Red-breasted Merganser","Ontario","1988",""
"1300","Red-breasted Merganser","Prince Edward Island","1988",""
"1300","Red-breasted Merganser","Quebec","1988","1.44"
"1300","Red-breasted Merganser","New Brunswick","1989",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1989","8"
"1300","Red-breasted Merganser","Nova Scotia","1989",""
"1300","Red-breasted Merganser","Ontario","1989",""
"1300","Red-breasted Merganser","Prince Edward Island","1989",""
"1300","Red-breasted Merganser","Quebec","1989","2.75"
"1300","Red-breasted Merganser","New Brunswick","1990",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1990","5"
"1300","Red-breasted Merganser","Nova Scotia","1990","1.6"
"1300","Red-breasted Merganser","Ontario","1990",""
"1300","Red-breasted Merganser","Prince Edward Island","1990",""
"1300","Red-breasted Merganser","Quebec","1990","3"
"1300","Red-breasted Merganser","British Columbia","1991",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1991",""
"1300","Red-breasted Merganser","Nova Scotia","1991","0.18"
"1300","Red-breasted Merganser","Ontario","1991",""
"1300","Red-breasted Merganser","Quebec","1991","3.14"
"1300","Red-breasted Merganser","New Brunswick","1992",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1992","3.33"
"1300","Red-breasted Merganser","Nova Scotia","1992","1.13"
"1300","Red-breasted Merganser","Ontario","1992",""
"1300","Red-breasted Merganser","Quebec","1992","2"
"1300","Red-breasted Merganser","Alberta","1993",""
"1300","Red-breasted Merganser","New Brunswick","1993",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1993","7"
"1300","Red-breasted Merganser","Nova Scotia","1993","2.57"
"1300","Red-breasted Merganser","Ontario","1993",""
"1300","Red-breasted Merganser","Prince Edward Island","1993",""
"1300","Red-breasted Merganser","Quebec","1993","4.17"
"1300","Red-breasted Merganser","Yukon Territory","1993",""
"1300","Red-breasted Merganser","New Brunswick","1994",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1994","2.27"
"1300","Red-breasted Merganser","Nova Scotia","1994","3.63"
"1300","Red-breasted Merganser","Ontario","1994",""
"1300","Red-breasted Merganser","Prince Edward Island","1994",""
"1300","Red-breasted Merganser","Quebec","1994",""
"1300","Red-breasted Merganser","British Columbia","1995",""
"1300","Red-breasted Merganser","New Brunswick","1995",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1995","2"
"1300","Red-breasted Merganser","Nova Scotia","1995","1.24"
"1300","Red-breasted Merganser","Ontario","1995",""
"1300","Red-breasted Merganser","Prince Edward Island","1995",""
"1300","Red-breasted Merganser","Quebec","1995",""
"1300","Red-breasted Merganser","Alberta","1996",""
"1300","Red-breasted Merganser","New Brunswick","1996",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1996","2.43"
"1300","Red-breasted Merganser","Nova Scotia","1996",""
"1300","Red-breasted Merganser","Ontario","1996",""
"1300","Red-breasted Merganser","Prince Edward Island","1996",""
"1300","Red-breasted Merganser","Quebec","1996","2.29"
"1300","Red-breasted Merganser","New Brunswick","1997",""
"1300","Red-breasted Merganser","Newfoundland and Labrador","1997",""
"1300","Red-breasted Merganser","Nova Scotia","1997",""
"1300","Red-breasted Merganser","Ontario","1997",""
