"Species code","Species name","Province","Year","Estimate","± 1 standard error"
"1300","Red-breasted Merganser","New Brunswick","1985","326","418"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1985","6879","2543"
"1300","Red-breasted Merganser","Nova Scotia","1985","3209","1713"
"1300","Red-breasted Merganser","Ontario","1985","3255","2506"
"1300","Red-breasted Merganser","Prince Edward Island","1985","404","0"
"1300","Red-breasted Merganser","Quebec","1985","6262","1802"
"1300","Red-breasted Merganser","British Columbia","1986","44","56"
"1300","Red-breasted Merganser","New Brunswick","1986","741","965"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1986","6599","2762"
"1300","Red-breasted Merganser","Nova Scotia","1986","3137","2544"
"1300","Red-breasted Merganser","Ontario","1986","2292","1345"
"1300","Red-breasted Merganser","Quebec","1986","6837","3823"
"1300","Red-breasted Merganser","New Brunswick","1987","238","159"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1987","3313","1823"
"1300","Red-breasted Merganser","Nova Scotia","1987","1104","217"
"1300","Red-breasted Merganser","Ontario","1987","762","406"
"1300","Red-breasted Merganser","Quebec","1987","2993","923"
"1300","Red-breasted Merganser","British Columbia","1988","26","19"
"1300","Red-breasted Merganser","New Brunswick","1988","202","114"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1988","2052","1650"
"1300","Red-breasted Merganser","Nova Scotia","1988","1576","720"
"1300","Red-breasted Merganser","Ontario","1988","1141","429"
"1300","Red-breasted Merganser","Prince Edward Island","1988","92","101"
"1300","Red-breasted Merganser","Quebec","1988","3345","1268"
"1300","Red-breasted Merganser","New Brunswick","1989","49","74"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1989","7557","3087"
"1300","Red-breasted Merganser","Nova Scotia","1989","3123","3016"
"1300","Red-breasted Merganser","Ontario","1989","1578","824"
"1300","Red-breasted Merganser","Prince Edward Island","1989","118","149"
"1300","Red-breasted Merganser","Quebec","1989","3793","1897"
"1300","Red-breasted Merganser","New Brunswick","1990","156","145"
"1300","Red-breasted Merganser","Newfoundland and Labrador","1990","4115","1326"
"1300","Red-breasted Merganser","Nova Scotia","1990","1565","895"
"1300","Red-breasted Merganser","Ontario","1990","681","265"
