"Species code","Species name","Province","Zone","Year","Annual age ratio"
"1290","Common Merganser","Quebec","1","2004","1.15"
"1290","Common Merganser","Quebec","2","2004",""
"1290","Common Merganser","British Columbia","1","2005",""
"1290","Common Merganser","British Columbia","2","2005",""
"1290","Common Merganser","New Brunswick","2","2005",""
"1290","Common Merganser","Newfoundland and Labrador","1","2005","5.6"
"1290","Common Merganser","Nova Scotia","1","2005",""
"1290","Common Merganser","Nova Scotia","2","2005",""
"1290","Common Merganser","Ontario","1","2005",""
"1290","Common Merganser","Ontario","2","2005",""
"1290","Common Merganser","Prince Edward Island","1","2005",""
"1290","Common Merganser","Quebec","1","2005",""
"1290","Common Merganser","Quebec","2","2005",""
"1290","Common Merganser","Alberta","1","2006",""
"1290","Common Merganser","Alberta","2","2006",""
"1290","Common Merganser","Newfoundland and Labrador","1","2006",""
"1290","Common Merganser","Nova Scotia","1","2006",""
"1290","Common Merganser","Ontario","1","2006",""
"1290","Common Merganser","Ontario","2","2006",""
"1290","Common Merganser","Ontario","3","2006",""
"1290","Common Merganser","Prince Edward Island","1","2006",""
"1290","Common Merganser","Quebec","1","2006",""
"1290","Common Merganser","Quebec","2","2006",""
"1290","Common Merganser","New Brunswick","1","2007",""
"1290","Common Merganser","New Brunswick","2","2007",""
"1290","Common Merganser","Newfoundland and Labrador","1","2007","2.43"
"1290","Common Merganser","Newfoundland and Labrador","2","2007",""
"1290","Common Merganser","Nova Scotia","1","2007",""
"1290","Common Merganser","Nova Scotia","2","2007",""
"1290","Common Merganser","Ontario","1","2007",""
"1290","Common Merganser","Ontario","2","2007",""
"1290","Common Merganser","Ontario","3","2007",""
"1290","Common Merganser","Prince Edward Island","1","2007",""
"1290","Common Merganser","Quebec","1","2007",""
"1290","Common Merganser","Quebec","2","2007",""
"1290","Common Merganser","British Columbia","2","2008",""
"1290","Common Merganser","New Brunswick","1","2008",""
"1290","Common Merganser","Newfoundland and Labrador","1","2008",""
"1290","Common Merganser","Newfoundland and Labrador","2","2008",""
"1290","Common Merganser","Nova Scotia","1","2008",""
"1290","Common Merganser","Nova Scotia","2","2008",""
