"Species code","Species name","Province","Zone","Year","Estimate","± 1 standard error"
"1290","Common Merganser","Northwest Territories","1","1986","159","102"
"1290","Common Merganser","Ontario","1","1986","180","205"
"1290","Common Merganser","Ontario","2","1986","4982","2638"
"1290","Common Merganser","Ontario","3","1986","1564","836"
"1290","Common Merganser","Prince Edward Island","1","1986","51","91"
"1290","Common Merganser","Quebec","1","1986","7659","4049"
"1290","Common Merganser","Quebec","2","1986","3670","3660"
"1290","Common Merganser","British Columbia","1","1987","180","109"
"1290","Common Merganser","British Columbia","2","1987","53","52"
"1290","Common Merganser","Manitoba","1","1987","95","111"
"1290","Common Merganser","Manitoba","2","1987","557","619"
"1290","Common Merganser","New Brunswick","1","1987","776","1374"
"1290","Common Merganser","New Brunswick","2","1987","492","515"
"1290","Common Merganser","Newfoundland and Labrador","1","1987","8628","3316"
"1290","Common Merganser","Nova Scotia","1","1987","887","761"
"1290","Common Merganser","Nova Scotia","2","1987","165","73"
"1290","Common Merganser","Ontario","2","1987","2027","586"
"1290","Common Merganser","Ontario","3","1987","854","536"
"1290","Common Merganser","Quebec","1","1987","6731","1728"
"1290","Common Merganser","Quebec","2","1987","3998","3674"
"1290","Common Merganser","Alberta","1","1988","166","93"
"1290","Common Merganser","British Columbia","1","1988","206","264"
"1290","Common Merganser","British Columbia","2","1988","67","62"
"1290","Common Merganser","New Brunswick","1","1988","303","173"
"1290","Common Merganser","New Brunswick","2","1988","434","143"
"1290","Common Merganser","Newfoundland and Labrador","1","1988","6711","3484"
"1290","Common Merganser","Newfoundland and Labrador","2","1988","2201","1152"
"1290","Common Merganser","Nova Scotia","1","1988","461","127"
"1290","Common Merganser","Nova Scotia","2","1988","604","302"
"1290","Common Merganser","Ontario","1","1988","442","285"
"1290","Common Merganser","Ontario","2","1988","4339","1574"
"1290","Common Merganser","Ontario","3","1988","190","203"
"1290","Common Merganser","Quebec","1","1988","5196","1954"
"1290","Common Merganser","Quebec","2","1988","2570","1110"
"1290","Common Merganser","Alberta","1","1989","150","177"
"1290","Common Merganser","New Brunswick","2","1989","1356","1067"
"1290","Common Merganser","Newfoundland and Labrador","1","1989","4259","1645"
"1290","Common Merganser","Newfoundland and Labrador","2","1989","1006","336"
"1290","Common Merganser","Nova Scotia","1","1989","1398","688"
"1290","Common Merganser","Nova Scotia","2","1989","822","547"
"1290","Common Merganser","Ontario","1","1989","391","327"
"1290","Common Merganser","Ontario","2","1989","1585","1026"
"1290","Common Merganser","Ontario","3","1989","521","333"
"1290","Common Merganser","Quebec","1","1989","4255","2393"
"1290","Common Merganser","Quebec","2","1989","3276","2643"
"1290","Common Merganser","Alberta","2","1990","368","247"
"1290","Common Merganser","New Brunswick","1","1990","292","300"
"1290","Common Merganser","New Brunswick","2","1990","138","165"
"1290","Common Merganser","Newfoundland and Labrador","1","1990","4258","2062"
"1290","Common Merganser","Newfoundland and Labrador","2","1990","328","187"
"1290","Common Merganser","Nova Scotia","1","1990","471","356"
"1290","Common Merganser","Nova Scotia","2","1990","656","298"
"1290","Common Merganser","Ontario","1","1990","584","507"
"1290","Common Merganser","Ontario","2","1990","2022","910"
"1290","Common Merganser","Ontario","3","1990","658","247"
"1290","Common Merganser","Quebec","1","1990","5514","2499"
"1290","Common Merganser","Quebec","2","1990","5548","5263"
"1290","Common Merganser","British Columbia","2","1991","69","257"
"1290","Common Merganser","New Brunswick","1","1991","568","450"
"1290","Common Merganser","Newfoundland and Labrador","1","1991","373","312"
"1290","Common Merganser","Nova Scotia","1","1991","805","210"
"1290","Common Merganser","Nova Scotia","2","1991","27","13"
"1290","Common Merganser","Ontario","1","1991","411","418"
"1290","Common Merganser","Ontario","2","1991","1537","577"
"1290","Common Merganser","Ontario","3","1991","432","251"
"1290","Common Merganser","Quebec","1","1991","8331","2879"
"1290","Common Merganser","Quebec","2","1991","1615","1746"
"1290","Common Merganser","New Brunswick","1","1992","395","229"
"1290","Common Merganser","New Brunswick","2","1992","164","0"
"1290","Common Merganser","Newfoundland and Labrador","1","1992","5075","1726"
"1290","Common Merganser","Newfoundland and Labrador","2","1992","618","511"
"1290","Common Merganser","Nova Scotia","1","1992","550","405"
"1290","Common Merganser","Nova Scotia","2","1992","263","104"
"1290","Common Merganser","Ontario","1","1992","428","343"
"1290","Common Merganser","Ontario","2","1992","4651","1242"
"1290","Common Merganser","Ontario","3","1992","324","186"
"1290","Common Merganser","Prince Edward Island","1","1992","113","113"
"1290","Common Merganser","Quebec","1","1992","5818","1419"
"1290","Common Merganser","Quebec","2","1992","1840","723"
"1290","Common Merganser","British Columbia","1","1993","21","0"
"1290","Common Merganser","British Columbia","2","1993","46","58"
"1290","Common Merganser","New Brunswick","1","1993","137","107"
"1290","Common Merganser","Newfoundland and Labrador","1","1993","3711","1026"
"1290","Common Merganser","Nova Scotia","1","1993","777","262"
"1290","Common Merganser","Nova Scotia","2","1993","555","212"
"1290","Common Merganser","Ontario","1","1993","516","561"
"1290","Common Merganser","Ontario","2","1993","1207","355"
"1290","Common Merganser","Quebec","1","1993","3326","856"
"1290","Common Merganser","Quebec","2","1993","1926","509"
"1290","Common Merganser","Yukon Territory","1","1993","53","51"
"1290","Common Merganser","British Columbia","1","1994","99","45"
"1290","Common Merganser","British Columbia","2","1994","31","0"
"1290","Common Merganser","New Brunswick","1","1994","260","131"
"1290","Common Merganser","New Brunswick","2","1994","71","121"
"1290","Common Merganser","Newfoundland and Labrador","1","1994","4416","1801"
"1290","Common Merganser","Newfoundland and Labrador","2","1994","2492","978"
"1290","Common Merganser","Nova Scotia","1","1994","493","291"
"1290","Common Merganser","Nova Scotia","2","1994","653","343"
"1290","Common Merganser","Ontario","2","1994","1357","482"
"1290","Common Merganser","Ontario","3","1994","1309","545"
"1290","Common Merganser","Quebec","1","1994","4098","1133"
"1290","Common Merganser","Quebec","2","1994","2305","871"
"1290","Common Merganser","Yukon Territory","1","1994","64","69"
"1290","Common Merganser","New Brunswick","2","1995","93","155"
"1290","Common Merganser","Newfoundland and Labrador","1","1995","3238","895"
"1290","Common Merganser","Newfoundland and Labrador","2","1995","1376","0"
"1290","Common Merganser","Nova Scotia","1","1995","1147","438"
"1290","Common Merganser","Nova Scotia","2","1995","616","305"
"1290","Common Merganser","Ontario","2","1995","816","368"
"1290","Common Merganser","Ontario","3","1995","404","426"
"1290","Common Merganser","Prince Edward Island","1","1995","675","0"
"1290","Common Merganser","Quebec","1","1995","4454","1792"
"1290","Common Merganser","Quebec","2","1995","4020","835"
"1290","Common Merganser","Alberta","1","1996","181","0"
"1290","Common Merganser","New Brunswick","2","1996","455","308"
"1290","Common Merganser","Newfoundland and Labrador","1","1996","5031","919"
"1290","Common Merganser","Nova Scotia","1","1996","960","548"
"1290","Common Merganser","Nova Scotia","2","1996","730","271"
"1290","Common Merganser","Ontario","1","1996","246","269"
"1290","Common Merganser","Ontario","2","1996","1810","506"
"1290","Common Merganser","Ontario","3","1996","613","300"
"1290","Common Merganser","Prince Edward Island","1","1996","831","193"
"1290","Common Merganser","Quebec","1","1996","4662","1074"
"1290","Common Merganser","Quebec","2","1996","638","342"
"1290","Common Merganser","New Brunswick","2","1997","199","0"
"1290","Common Merganser","Newfoundland and Labrador","1","1997","3918","710"
