"Variable code","Variable name","Province","Zone","Citizenship","Year","Estimate","± 1 standard error"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","2","All hunters","1984","832","142"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","1","All hunters","1984","87","52"
"ACTIOT","Active non-waterfowl hunters","Ontario","1","All hunters","1984","5347","413"
"ACTIOT","Active non-waterfowl hunters","Ontario","2","All hunters","1984","12823","582"
"ACTIOT","Active non-waterfowl hunters","Ontario","3","All hunters","1984","3675","319"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","1","All hunters","1984","759","152"
"ACTIOT","Active non-waterfowl hunters","Quebec","1","All hunters","1984","11224","552"
"ACTIOT","Active non-waterfowl hunters","Quebec","2","All hunters","1984","2208","217"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","1","All hunters","1984","1420","209"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","2","All hunters","1984","785","147"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","3","All hunters","1984","2213","281"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","1","All hunters","1984","7","4"
"ACTIOT","Active non-waterfowl hunters","Alberta","1","All hunters","1985","1458","160"
"ACTIOT","Active non-waterfowl hunters","Alberta","2","All hunters","1985","2310","231"
"ACTIOT","Active non-waterfowl hunters","British Columbia","1","All hunters","1985","668","143"
"ACTIOT","Active non-waterfowl hunters","British Columbia","2","All hunters","1985","957","131"
"ACTIOT","Active non-waterfowl hunters","Manitoba","1","All hunters","1985","2402","268"
"ACTIOT","Active non-waterfowl hunters","Manitoba","2","All hunters","1985","837","138"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","1","All hunters","1985","1736","219"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","2","All hunters","1985","754","150"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","1","All hunters","1985","5045","423"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","2","All hunters","1985","396","94"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","1","All hunters","1985","1920","162"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","2","All hunters","1985","746","125"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","1","All hunters","1985","85","26"
"ACTIOT","Active non-waterfowl hunters","Ontario","1","All hunters","1985","4863","399"
"ACTIOT","Active non-waterfowl hunters","Ontario","2","All hunters","1985","11932","565"
"ACTIOT","Active non-waterfowl hunters","Ontario","3","All hunters","1985","2677","257"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","1","All hunters","1985","353","102"
"ACTIOT","Active non-waterfowl hunters","Quebec","1","All hunters","1985","10467","536"
